id,fname,lname,email,division,department,status,employeeType,title,jobCode,manager
1,Alice,Aardvark,aa@acme.com,Office of the CEO,Office of the CEO,active,regular,CEO,1,1
2,Kim,Palone,Kim.Palone@Training.com,,Marketing,active,,Executive Director,,1
3,Rebecca,Oldham,Rebecca.Oldham@Training.com,,Sales,active,,Marketing Director,,1
4,Linda,Rose,Linda.Rose@Training.com,,Marketing,active,,"Product Manager, Software",,2
5,Kaye,Lantz,Kaye.Lantz@Training.com,,Engineering,active,,Operations Director,,1
6,Annette,Lescarbeau,Annette.Lescarbeau@Training.com,,Marketing,active,,IT Consultant,,2
7,Tony,Murphy,Tony.Murphy@Training.com,,Sales,active,,Network Technician,,3
8,David,Mundy,David.Mundy@Training.com,,Marketing,active,,Supply Chain Analyst,,4
9,Tammie,Matthews,Tammie.Matthews@Training.com,,IT,active,,IT Director,,1
10,Keith,Delton,Keith.Delton@Training.com,,Marketing,active,,Data Entry Specialist,,2
11,Tammy,Mcmillian,Tammy.Mcmillian@Training.com,,Sales,inactive,,HR Generalist,,3
12,Georgette,Calvert,Georgette.Calvert@Training.com,,Marketing,active,,Product Marketing Manager,,4
13,Thomas,Buzbee,Thomas.Buzbee@Training.com,,Engineering,active,,Account Manager,,5
14,Teresa,Becker,Teresa.Becker@Training.com,,Marketing,active,,Sales Engineer,,6
15,Christian,Cannella,Christian.Cannella@Training.com,,Sales,active,,Business Systems Analyst,,7
16,Barbara,Hurt,Barbara.Hurt@Training.com,,Marketing,active,,Logistics Manager,,8
17,Jason,Vanhorn,Jason.Vanhorn@Training.com,,Accounting,active,,Event Planner,,1
18,Robert,Schwartz,Robert.Schwartz@Training.com,,Marketing,active,,IT Consultant,,2
19,Christopher,Peters,Christopher.Peters@Training.com,,Sales,active,,Production Coordinator,,3
20,Justin,Adams,Justin.Adams@Training.com,,Marketing,active,,Financial Planner,,4
21,Joan,Petersen,Joan.Petersen@Training.com,,Engineering,active,,Customer Service Supervisor,,5
