Unnamed: 0,id,fname,lname,email,division,department,status,employeeType,title,jobCode,manager,managerIdChain,depth,missingReports
0,1,Alice,Aardvark,aa@acme.com,Office of the CEO,Office of the CEO,active,regular,CEO,1,1,,1,0
1,2,Kim,Palone,Kim.Palone@Training.com,,Marketing,active,,,,1,",1,",2,0
2,3,Rebecca,Oldham,Rebecca.Oldham@Training.com,,Sales,active,,,,1,",1,",2,0
3,4,Linda,Rose,Linda.Rose@Training.com,,Marketing,active,,,,2,",1,,2,",3,0
4,5,Kaye,Lantz,Kaye.Lantz@Training.com,,Engineering,active,,,,1,",1,",2,0
5,6,Annette,Lescarbeau,Annette.Lescarbeau@Training.com,,Marketing,active,,,,2,",1,,2,",3,0
6,7,Tony,Murphy,Tony.Murphy@Training.com,,Sales,active,,,,3,",1,,3,",3,0
7,8,David,Mundy,David.Mundy@Training.com,,Marketing,active,,,,4,",1,,2,,4,",4,0
8,9,Tammie,Matthews,Tammie.Matthews@Training.com,,IT,active,,,,1,",1,",2,0
9,10,Keith,Delton,Keith.Delton@Training.com,,Marketing,active,,,,2,",1,,2,",3,0
10,11,Tammy,Mcmillian,Tammy.Mcmillian@Training.com,,Sales,inactive,,,,3,",1,,3,",3,0
11,12,Georgette,Calvert,Georgette.Calvert@Training.com,,Marketing,active,,,,4,",1,,2,,4,",4,0
12,13,Thomas,Buzbee,Thomas.Buzbee@Training.com,,Engineering,active,,,,5,",1,,5,",3,0
13,14,Teresa,Becker,Teresa.Becker@Training.com,,Marketing,active,,,,6,",1,,2,,6,",4,0
14,15,Christian,Cannella,Christian.Cannella@Training.com,,Sales,active,,,,7,",1,,3,,7,",4,0
15,16,Barbara,Hurt,Barbara.Hurt@Training.com,,Marketing,active,,,,8,",1,,2,,4,,8,",5,4
16,17,Jason,Vanhorn,Jason.Vanhorn@Training.com,,Accounting,active,,,,1,",1,",2,0
17,18,Robert,Schwartz,Robert.Schwartz@Training.com,,Marketing,active,,,,2,",1,,2,",3,0
18,19,Christopher,Peters,Christopher.Peters@Training.com,,Sales,active,,,,3,",1,,3,",3,0
19,20,Justin,Adams,Justin.Adams@Training.com,,Marketing,active,,,,4,",1,,2,,4,",4,0
20,21,Joan,Petersen,Joan.Petersen@Training.com,,Engineering,active,,,,5,",1,,5,",3,0
21,22,Kathleen,Hernandez,Kathleen.Hernandez@Training.com,,Marketing,active,,,,6,",1,,2,,6,",4,0
22,23,Krystle,Loomis,Krystle.Loomis@Training.com,,Sales,active,,,,7,",1,,3,,7,",4,0
23,24,Jose,Tarlton,Jose.Tarlton@Training.com,,Marketing,active,,,,8,",1,,2,,4,,8,",5,6
24,25,Jonathan,Flemming,Jonathan.Flemming@Training.com,,IT,active,,,,9,",1,,9,",3,0
25,26,Lenard,Jones,Lenard.Jones@Training.com,,Marketing,active,,,,10,",1,,2,,10,",4,0
26,27,Dorothy,Nixon,Dorothy.Nixon@Training.com,,Sales,active,,,,11,",1,,3,,11,",4,0
27,28,Mitzi,Tran,Mitzi.Tran@Training.com,,Marketing,active,,,,12,",1,,2,,4,,12,",5,4
28,29,Teri,Rhodes,Teri.Rhodes@Training.com,,Engineering,active,,,,13,",1,,5,,13,",4,0
29,30,Jeffrey,Rogers,Jeffrey.Rogers@Training.com,,Marketing,active,,,,14,",1,,2,,6,,14,",5,4
30,31,Fred,Caver,Fred.Caver@Training.com,,Sales,active,,,,15,",1,,3,,7,,15,",5,6
31,32,Adam,Smith,Adam.Smith@Training.com,,Human Resources,active,,,,1,",1,",2,0
32,33,Eric,Sanders,Eric.Sanders@Training.com,,Marketing,active,,,,2,",1,,2,",3,0
33,34,Mark,Coates,Mark.Coates@Training.com,,Sales,active,,,,3,",1,,3,",3,0
34,35,Ruth,Maicus,Ruth.Maicus@Training.com,,Marketing,active,,,,4,",1,,2,,4,",4,0
35,36,Jude,Norman,Jude.Norman@Training.com,,Engineering,active,,,,5,",1,,5,",3,0
